BUSINESS ADMINISTRATION CORE EXAM,Text,A.,B.,C.,D.,Answer,Why,isSelected,Selected Letter
63,A manager looks at financial information to see if the company can afford to purchase a popular new item  it wants to add to its shelves. This is an example of using financial information to,manage debt.,increase sales.,check up on the competition.,reduce expenses.,B,"Increase sales. Businesses often want to add new products to their offerings as a way to increase sales.  They need to study financial information to make sure they can afford to do so. Adding new products is  not managing debt, checking up on the competition, or reducing expenses.",false,
64,What type of accounting would most likely be used by a small-business owner who does not offer credit?,COD method,Accrual method,Cash method,Check method,C,"Cash method. Many small businesses that do not offer credit use the cash method because it tracks the  actual amount of cash that the business has on hand. With the cash accounting method, income and  expenditures are recorded at the time the money changes hands. Expenses are not recorded when they  are incurred but on the date that the bills for them are paid. The accrual method records the expense at  the time it is incurred, even if a check is used to pay the bill. COD and check are methods of payment but  not accounting methods.",false,
65,"When return on capital is positive, the company is",growing in value.,losing value.,low on cash.,paying out dividends.,A,"Growing in value. When return on capital is positive, the company is growing in value. When return on  capital is negative, the company is losing value. A high return on capital would not indicate that a  company is low on cash. Businesses can have a high return on capital but not pay out dividends.",false,
66,"If you want to avoid excessive debt, which of the following actions should you take:","Create a budget, and stick to it.",Avoid big purchases unless they're impulse buys.,Pay the minimum payment due each month on your credit card.,Use a credit card for purchases you can't afford.,A,"Create a budget, and stick to it. The best way to avoid debt is to not spend more money than you have.  This means creating a budget and sticking to it! Sometimes big purchases (such as cars, houses, or a  college education) are necessary, but they should never be impulse buys. Big purchases should be  planned (and budgeted) for. Making just the minimum payment each month can lead to lots of interest,  which you don't want if you're trying to avoid debt. If possible, you should always pay off the full balance  on your credit card. Using credit cards for purchases you can't afford is dangerous and can quickly lead  to excessive debt if you aren't careful. It's a good idea not to charge purchases to your credit card if you  know you won't be able to pay for them when your bill comes.",false,
67,"When HR management executives participate in a company's long-range planning efforts, they are taking  part in",financial analysis.,marketing.,budgeting.,strategic management.,D,"Strategic management. When HR management executives participate in a company's long-range  planning efforts, they are taking part in strategic management. Strategic management may take into  account marketing, budgeting, and financial analysis, but HR managers will be present to ensure that the  company is planning now to have the human resources it needs tomorrow.",false,
68,Which of the following marketing functions focuses on informing all current and potential customers about  the business's products:,Marketing-information management,Promotion,Product/Service Management,Pricing,B,"Promotion. The promotion function focuses on informing customers about new products, improved  products, new uses for existing products, and special values on products. Businesses use a variety of  communication channels to inform customers about products including advertising and sales promotion.  The marketing-information management function focuses on gathering, accessing, synthesizing,  evaluating, and disseminating information to aid business decision-making. The product/service  management function focuses on obtaining, developing, maintaining, and improving a product mix in  response to market opportunities. The pricing function focuses on determining and adjusting prices to  maximize return and meet the customers' perceptions of value.",false,
69,"To complete a report about commercial loans, Lola needs to review a specific online article called, ""The  Truth About Commercial Interest Rate Increases."" Which of the following search entries will provide Lola  the most accurate results:",[-the -truth -about -commercial- interest -rate -increases],{truth_ commercial interest rate_ increases},"""the truth about commercial interest rate increases""",“{-the_truth_about_commercial_interest_rate_increases-}”,C,"""The truth about commercial interest rate increases."" When you place quotes around a phrase or title in  the search field, the search engine will show results only for those websites containing that exact phrase.  Placing a dash in front of the word means that you do not want the word included in the search. Placing  an underscore between words and parentheses around the phrase is less likely to retrieve the exact  results desired.",false,
70,"When evaluating the reliability of a journal article that addresses a complex issue or topic, it is important  to consider the author's",expertise and knowledge.,age and expertise.,gender and age.,knowledge and gender.,A,Expertise and knowledge. An important consideration when evaluating the reliability of a journal article is  the author's expertise and knowledge about the subject matter. Age and gender are not primary factors  to consider when evaluating the reliability of a journal article that addresses a complex issue or topic.,false,
71,"Reese is writing a paper for his business class. He wants to include an idea he found in one of his  sources. He rewrites the main points in his own words, making sure to attribute his ideas to the original  source. Reese is",plagiarizing.,paraphrasing.,quoting.,summarizing.,D,"Summarizing. Quoting, paraphrasing, and summarizing are all ways to incorporate another writer's work  into your own. Although they are similar, there are key differences among them. Quoting occurs when  you use someone else's text word-for-word. Paraphrasing involves using a section of the source material,  but putting it into your own words. What Reese is doing is summarizing—putting the ideas in the source  material into his own words but including only the main points. His summary will be much shorter than the  original text, since he's only including the most important information. Quoting, paraphrasing, and  summarizing are not the same as plagiarizing. Plagiarizing occurs when you use someone else's words  or ideas and don't credit him/her. That's not what Reese is doing, since he's being careful to cite the  original source. Avoiding plagiarism is very important, since it's dishonest, and it can have negative  consequences at school or work.",false,
72,A risk involved with information management is leaving customers unprotected from,high prices.,bad customer service.,identity theft.,faulty products.,C,"Identity theft. A risk involved with information management is leaving customers unprotected from identity  theft. An information management program that does not use technology properly may put customers'  personal information at risk. Appropriate information management will not necessarily protect customers  from bad service, high prices, or faulty products.",false,
73,What is the importance of the computer hard drive in a computer system?,It permanently stores the computer program files and data.,It facilitates the computer's audio transmissions.,It allows the user to view the computer data.,It transmits power to other computer devices.,A,"It permanently stores the computer program files and data. The hard drive is the component of the  computer's central processing unit (CPU) that stores the computer's program files and inputted data. A  sound card is a device that transmits sound waves through the computer so the user can hear audio  elements. A computer monitor allows the user to view the computer data. The power supply transmits  power to other computer devices (e.g., printer) so they can operate.",false,
74,Businesspeople often use the calendar applications on their mobile devices to,check their email.,obtain driving directions.,send text messages to clients.,track their appointments.,D,"Track their appointments. Most mobile devices have calendar and scheduling applications that allow  users to set and track their tasks and appointments. Mobile devices also include Internet access to check  email, text-messaging functions to send text messages to clients, and global positioning systems (GPS),  which are navigational tools that help users obtain driving directions.",false,
75,Dara is using Google to locate information on the Internet about her research report topic. She is using a  search,machine.,engine.,technology.,group.,B,"Engine. Search engines (such as Google, Yahoo, or Bing) find web pages that correspond to the  phrases, key words, or topics you enter. If Dara searches for her research report topic, she will receive  results that correspond to that topic. Search engines are not referred to as machines, technologies, or  groups.",false,
76,"A business wants to purchase computer software that would store, manage, and retrieve customer  information in order to better serve customer needs and increase sales. What type of software should the  business buy?",Database,Spreadsheet,Word processing,Computer-aided design,A,"Database. A database program allows the organized collection of information with pieces of information  related to one another. This information can be used to maintain, analyze, and combine customer  information. Spreadsheets, word-processing software, and computer-aided design do not perform the  functions required by the business.",false,
77,The ability to quickly and accurately calculate mathematical data is one of the characteristics of a  __________ software program.,spreadsheet,database,graphics,word-processing,A,"Spreadsheet. Spreadsheet software programs are designed to organize, calculate, and analyze  mathematical or numerical information. Businesses are able to enter mathematical information into rows  and columns, and the software provides accurate calculations in a matter of seconds. Database software  programs maintain information according to specific criteria. Word-processing software programs are  used to create text documents. Graphics software programs are used to combine text and pictures to  create visual impact.",false,
78,"Stella has just finished designing the web page for her new business. Next, she needs to select a  ___________ and register the website's ____________.","hyperlink, modem","web host, domain name","media permit, server","file link, ethernet",B,"Web host, domain name. After creating a web page, the developer needs to post the web page through a  web host (web server) or Internet service provider (IPS). The web host may charge a fee to post and  store the web page, although some web hosts will provide the service free of charge. The domain name  is the business's web address. Internet users enter the web address to view Stella's website. Stella can  register her domain name directly with the Internet Corporation for Assigned Names and Numbers  (ICANN). Or, Stella can work with her web host to register the domain name for her. Stella does not need  to register a hyperlink, media permit, or file link with any organization. A hyperlink (link) is the component  of an electronic document (file) that can be clicked on in order to jump to another place within the  document or into a different document. A modem is an internal or external computer communications  device that is used to transmit information over a particular medium such as telephone lines or television  cables. Ethernet is a local area network.",false,
79,"Because operations managers control so much of a business's money, they must focus on",keeping costs low.,hiring the best employees.,creating effective advertising campaigns.,generating publicity.,A,"Keeping costs low. Because operations managers control so much of a business's money, they must  focus on keeping costs low. Operations managers are not responsible for hiring employees, creating  advertising campaigns, or generating publicity.",false,
80,An employee notifying a government agency that the business is violating health and safety regulations is  an example of,reporting noncompliance.,spreading gossip.,unethical behavior.,verbal communication.,A,"Reporting noncompliance. Certain government agencies have developed health and safety regulations  that businesses are expected to follow in order to provide employees with a safe work environment. If  businesses do not comply with these regulations, they should be reported for noncompliance so the  necessary action can be taken to solve the problem and make the workplace safe for employees. The  goal is to correct dangerous situations and keep the workplace safe. An employee notifying a  government agency is not an example of spreading gossip, unethical behavior, or verbal communication.  In fact, the employee is exhibiting ethical behavior. Also, the employee may have notified the agency in  writing which is nonverbal communication.",false,
81,One way that businesses maintain the security of data that they send over the Internet to clients is by  using a software program that prevents a(n),attachment from being included.,virus from being downloaded.,document from being forwarded.,search engine from being used.,C,"Document from being forwarded. Some businesses use software programs that help maintain the  security of data they send over the Internet to clients. These programs prevent documents from being  forwarded to others so the information does not end up in the hands of competitors. Also, these programs  prevent others from copying, editing, or printing the documents which helps maintain the information in its  original form. These software programs do not prevent a virus from being downloaded, an attachment  from being included, or a search engine from being used.",false,
82,What kind of dangerous situation might result if a new employee operates specialized equipment without  having received prior training on how to properly use that equipment?,Personal tension,Mental stress,Physical fatigue,Safety hazard,D,Safety hazard. A safety hazard is any situation that has the potential to cause bodily harm. Machines and  equipment can be hazardous to workers who don't know how to use them. Using specialized equipment  without prior training can result in possible injury to the employee or a coworker. Stress is a mental or  emotional feeling of pressure or tension. Fatigue is a state of mental or physical tiredness. Tension is  stress.,false,
83,One way that employees can help prevent accidents is by practicing,emergency methods.,first-aid techniques.,good health habits.,security procedures.,C,"Good health habits. Practicing good health habits helps reduce the risk of carelessness, which commonly  causes workers to make errors that result in accidents. People who eat a balanced diet, get plenty of  sleep, and exercise regularly are more rested, alert, and able to concentrate on their work. Practicing  first-aid techniques, emergency methods, and security procedures will not help employees prevent  accidents, but they should be trained in those areas in order to properly deal with accidents once they  have occurred.",false,
84,Which of the following is NOT an example of point-of-sale fraud committed by employees:,Accepting a check from a customer who lacks funds to cover it,Undercharging friends or family members for purchases,Overcharging customers and keeping the extra money,Using employee discount privileges for friends or family members,A,"Accepting a check from a customer who lacks funds to cover it. This is an example of customer fraud.  Even though the employee may follow all procedures for handling checks, the check may still be ""bad""  because the customer does not have enough money in the bank to cover the check. An employee  commits fraud when deliberately causing losses to the business by overcharging and keeping the  difference, undercharging friends, and misusing the discount privilege.",false,
85,Why is it important for business employees to follow established security procedures?,To develop a healthy environment,To create a pleasant facility,To avoid the risk of accidents,To reduce the possibility of loss,D,"To reduce the possibility of loss. Businesses establish security procedures, which are activities that  employees should follow to protect the business from loss. These security procedures are intended to  reduce the risk of robbery, assault, and other violent crimes, all of which might result in a loss for the  business. For example, robbery usually results in financial loss. Employees do not follow established  security procedures to create a pleasant facility, avoid the risk of accidents, or develop a healthy  environment.",false,
86,The people who are impacted by a project in any way are called,workers.,team members.,customers.,stakeholders.,D,"Stakeholders. Stakeholders are people who are impacted by the project in any way. Customers, team  members, and workers might be stakeholders, but they are not the only people who are impacted by the  project.",false,
87,"A project team decided to meet every week, but after a while, the members realized that monthly  meetings would be enough. The project team is monitoring",budget.,quality.,risk.,communications.,D,"Communications. Project teams usually develop a communications plan that they follow throughout the  course of the project. Communications between teams and stakeholders need to be monitored.  Monitoring communications includes making sure your planned communications are appropriate for your  project, such as the project team determining that biweekly meetings were more appropriate than weekly  meetings. This example does not involve monitoring budget, quality, or risk.",false,
88,Which of the following is an indicator that your project is a success:,It is temporary.,The team is challenged by the work.,It offers financial value.,It comes in under budget.,C,"It offers financial value. When it comes down to it, money matters. A successful project should bring  money in rather than waste it. Whether or not the team is challenged by the project's work does not  necessarily indicate project success. Successful project outcomes are sustainable rather than temporary.  Finally, projects that come in under budget can be successful, but not in every instance.",false,
89,Centralized retail buying can become ineffective for a large chain when,purchasing responsibility is shared by buyers.,its stores are divided into districts.,all buying is carried out at one location.,its stores are located very far apart.,D,"Its stores are located very far apart. Retail chains can grow so large that centralized buying no longer is  effective. To correct this, the chains switch to decentralized buying in which the country is divided into  districts, and district managers take responsibility to buy for district stores. Having buying carried out in  one location and giving purchasing authority to buyers of different lines help make centralized buying  effective.",false,
90,Which of the following actions would most likely be taken by an organized employee:,Having coworkers prioritize workload,Thriving on tight deadlines,Asking for help to complete tasks,Planning work ahead of time,D,"Planning work ahead of time. Planning work involves scheduling activities and making sure to have the  supplies needed to complete tasks. This helps effectively manage time, so work can be done at a relaxed  pace. Generally, employees who work at a relaxed pace do not make as many mistakes as those  employees who are rushed and work on unnecessarily tight deadlines. Planning work often leads to  greater productivity and efficiency, which means an employee is less likely to impose on coworkers for  help to complete a task or project on time.",false,
91,"Before trying to generate possible solutions to problems, it is essential to identify all of the",consequences.,rewards.,outcomes.,facts.,D,Facts. This is a critical step in the problem-solving process and should be done immediately after the  problem has been defined. Conduct an inventory of the facts by making lists or diagrams. It is not always  possible to identify all the outcomes or consequences of a possible solution in advance. Solving  problems does not always bring rewards other than the elimination of the problem.,false,
92,Laura has made a list of the things she most enjoys doing and the way she likes to spend her time. This  list will help Laura,increase her level of ability.,improve her study habits.,measure her work skills.,identify an appropriate career.,D,"Identify an appropriate career. In order to find out which career would be most appropriate for you, you  first need to know yourself. This involves identifying the things that interest you, as well as assessing  your skills, aptitudes, and other traits. Assessing your interests will not help you increase your level of  ability. It also will not help in measuring work skills or improving study habits.",false,
93,Employees who arrive at work on time and direct their own work-related activities during the course of the  day usually possess positive __________ skills.,inner-qualitative,self-conceptual,self-management,personal-orientation,C,"Self-management. The ability to control one's own activities, behaviors, and attitudes in the workplace is  often referred to as self-management. Employees who make a conscious effort to get to work on time  each day are engaging in positive self-management skills. Other activities that employees can control in  the workplace might include their ability to perform and produce quality work in a given time, willingness  to learn new activities, level of flexibility, and degree of workplace socializing. Self-concept refers to how  one views him/herself. Inner-qualitative and personal-orientation are not terms frequently used to  describe self-control issues as they relate to the workplace.",false,
94,Tia has many interests and doesn't know which career path is best for her. One method Tia can use to  determine the best occupational options for her is to,develop a general interest questionnaire.,have friends and family critique her personality type.,complete an aptitude assessment survey.,surf the Internet for job descriptions.,C,"Complete an aptitude assessment survey. Many people have a difficult time selecting a career path that  is right for them. Some people complete professionally developed aptitude assessment surveys to help  them determine their aptitudes and skills. By considering factors such as personality type, abilities,  interests, and learning style, a person can use the survey results to determine the career for which s/he is  best suited. Although constructive input from friends and family might help Tia in assessing her career  options, the information may not provide her with the objectivity and the detail she would receive from a  professionally developed assessment survey. Developing a general interest questionnaire and surfing the  Internet for job descriptions are not activities that will provide her with guidance in terms of her specific  career selection.",false,
95,Taylor works as a public relations manager. His career is in the area of,marketing research.,operations management.,professional selling.,marketing communications.,D,"Marketing communications. Taylor’s career in public relations is in the area of marketing  communications. Marketing communications involves marketing activities that inform, remind, and/or  persuade the targeted audience of ideas, experiences, goods/services, and/or images. Examples of  marketing communications techniques include advertising, direct marketing, digital marketing,  publicity/public relations, and sales promotion. Taylor’s career is not in the areas of operations  management, professional selling, or marketing research. Employees working in operations management  focus on planning, organizing, coordinating, and controlling the resources needed to produce/provide a  business’s goods and/or services. Careers in professional selling involve marketing and management  activities that determine customer needs/wants and respond through planned, personalized  communication to influence purchase decisions and enhance future business operations. Marketing  research jobs focus on marketing activities that involve determining information needs, designing data-  collection processes, collecting data, analyzing data, presenting data, and using data for marketing  planning.",false,
96,How do entrepreneurs develop their skills?,By training and continuous practice,By reducing their flexibility,By becoming an autocratic leader,By seeking little or no advice from others,A,"By training and continuous practice. Skill is defined as the ability to perform a task that is developed  through knowledge, training, and practice. Entrepreneurs also grow by learning to be flexible and seeking  advice from others. Flexibility is the ability to adapt to changes as they occur. When entrepreneurs seek  advice, they exhibit open-minded behavior. Being open-minded is the ability to see different viewpoints.  Being open-minded and flexible are behaviors that successful entrepreneurs generally exhibit. Autocratic  leadership is a dictatorial style of leading in which the leader determines all policies, maintains close  control, and lets employees know only what they need to know in order to do the job. Possessing this  form of leadership does not necessarily help entrepreneurs develop the skills they need.",false,
97,What types of skills are extremely important for an applicant to use effectively during an employment  interview?,Occupational,Communication,Management,Educational,B,"Communication. Good communication skills will enable an applicant to perform well during an  employment interview. An applicant who carefully listens to questions, provides brief but concise  answers, and speaks clearly will make a positive impression on the interviewer. Proper body language, or  nonverbal communication, such as maintaining eye contact and having a pleasant facial expression, also  helps applicants interview effectively. Applicants with good communication skills usually are able to  favorably explain their occupational, educational, and management skills to interviewers.",false,
98,A primary purpose of sending a follow-up letter to the interviewer after a job interview is to,"ask for a second interview, if the first interview did not go well.",provide detailed information about your integrity and skills.,reinforce your qualifications and interest in the position.,request more information about the job's salary and benefits.,C,"Reinforce your qualifications and interest in the position. It is a courtesy to send follow-up letters to  interviewers to thank them for their time. The applicant can use the letter to reinforce his/her  qualifications and express his/her interest in the position. This letter may also help the interviewer  remember the applicant. The follow-up letter should be brief—the detailed information should have been  provided in the application and résumé and during the interview. If the first interview did not go well,  interviewers do not usually ask applicants for a second interview. It would be inappropriate to request  more information about the job's salary and benefits in a follow-up letter. This type of information is  typically provided when the employer extends a job offer to the applicant.",false,
99,Serving as a volunteer in a specific industry or for a business-related organization is one way that  individuals might obtain,guidance counseling.,monetary compensation.,technical training.,work experience.,D,"Work experience. Many young people have limited paid work experience, and many of these jobs may be  in areas unrelated to their career goals. One way to obtain valuable work experience is to serve as a  volunteer in a specific industry or for a business-related organization. Volunteer work refers to activities  or tasks that a person performs without pay. Although responsibilities might be menial in nature, the  experience provides the volunteer with insight as to how business operates and what is expected of  employees. Volunteers usually do not receive monetary compensation, technical training, or guidance  counseling.",false,
100,Which of the following is a benefit that individuals receive from following rules of conduct:,Increased organizational communication,Protection from consequences,Less ethical guidance,Increased financial compensation,B,"Protection from consequences. If you follow the rules laid out by your organization, you will meet  expectations and be protected from consequences. Increased organizational communication is a benefit  that organizations, rather than individuals, receive from following rules of conduct. Increased financial  compensation is not necessarily related to following rules of conduct. Finally, rules of conduct provide  more ethical guidance rather than less.",false,
